comments,a,b,c,d,e
"overall, i believe XXX does a good job diversifying its employees. When we start to hit director positions and above I think its male dominated. At Executive levels there are barely any women. I've stated this from the start, but the next company I move to I will need to see women in executive level positions. ",WE-MA,G_L_D_H,,,
There seems to be a lot of women here but not many in upper mgt.  Director or SLT.  That is weird,G_L_D_H,,,,
"Less than 20 percent of the engineering positions under the OOCTO are filled by women. It is in line with the statistics for companies of this size in the area, but it is still disappointing.",DEPARTMENT,G_L-D,,,
"While XXX can improve on the diversity front especially at the ELT level, I feel like the grass root efforts and even some ELT efforts are more than what I've seen in part large corporations. So kudos to everyone working on this.",G_L_D_H,,,,
I can't think of many women above the ED level.  This makes me think that XXX's view on women in Sr. leadership isn't a high priority.,G_L_D_H,,,,
"Taking good strides with having more women at the executive leadership level.  However, I am strongly disappointed with the lack of high level women in development, (i.e Prakash's directs). It was especially disappointing to see that we recently hired two male direct reports for Prakash, and, although I believe they are qualified, it would have been nice to take the opportunity with these openings to bring more women on board at that level.",G_L_D_H,,,,
"Would love to see more female representation at the leadership level, not only to increase diversity in perspectives, approaches, ideas etc but also to serve as female role models",G_L_D_H,,,,
"The higher up you go, the fewer women you see, and the more older, white, men you see.",G_L_D_H,,,,
We need examples of women in leadership,G_L_D_H,,,,
"The numbers speak for themselves. There are very few women in leadership positions at XXX, and XXX has a history and reputation of lack of gender equality.",G_L-D_H,,,,
We need to focus on the individual's talents and abilities as opposed to their gender. ,Emf_Abb_Imp,N_GD_Prm,,,
It has been disheartening to observe the low number of women in upper management and the departures of women leaders.,G_L_D_H,,,,
It is painfully obvious that something is broken in the way that XXX hires and advances women by the lack of senior leadership. Touting success at our overall company gender split is misleading and insulting given that those numbers are conflated by the percentage of roles in our ATL and BEL offices.,G_L_D_H,CA_PO_U,DEPARTMENT,,
I have seen my white and non-white male counterparts and colleagues receive promotions and opportunities over me and the other women on the team regularly. ,CA_PO_U,,,,
"One of the challenges of being a female Senior Manager is there aren't many positive female career role models at the Director and above level. The majority of those that we do have are remote or in client-facing roles which doesn't leave me with any major role models. We need stronger female representation across the company, not just in certain pockets. ", G_few_R_Fm,,,,
it was interesting to see this start as a gender diversity and then we focused in on women only. not sure if this was done purposely. ,Impv_GD,OTHER,,,
"The company has operated as a boys club for so long it's hard to see change happening. Maybe it will be better now that SM and Kyle are gone. I think those in the club are very unaware of the perception of the club and its power. That lack of awareness is reinforced by the need to point out very basic offensiveness over and over. Most senior women don't seem to work out, for one reason or another. I suspect certain men just don't want to deal with the women.",WE_MA,N_G_keep_H_Fm,,,
I'm not entirely sure if executive leadership is historically male by circumstance or something else.  ,NONE,,,,
I have experienced first-hand gender discrimination on more than one occasion at XXX. ,G_Dis-Def,,,,
"Overall - XXX seems like most big corporate locations in that whether you are female or male you have relatively the same opportunities. However, we seem to struggle keeping women at top levels, they get pushed out more quickly. ",G_L_D_H,N-G_keep_H_Fm,,,
There are no senior executive women.Two of the highest ranking women have abruptly left the organization with no explanation. ,G_L_D_H,,,,
"When I started at XXX, the Women's Leadership ERG was celebrated as a ""grassroots"" group. I have now come to associate that title as less of a badge of honor and more of a concern that there continue to be bottom-up issues that are not adequately supported or addressed by the ""top.""",G_L_D_H,,,,
"Lower cohorts are much more diverse from a gender perspective than at the leadership level. While leadership is committed to encouraging gender diversity at all layers across the business, the group often exhibits unconscious behavior that contradicts this. Specifically, leadership decisions can sometimes be made during informal gatherings where women may not be present, or may not feel comfortable asking to join. And within more formal settings, it can sometimes be hard to speak up and/or participate in the dialogue.  In addition to these subtle issues, there's an opportunity to improve our parenting policies to better illustrate to employees that everyone should be treated equally. Right now, paternity leave is significantly shorter than maternity leave - and leave associated with adoption is also shorter. This policy falls well below standards set by leading companies and sends a message that women are still the primary care-givers in a household (which is often not the reality anymore) - and sets the expectation at work that women will be gone longer and/or will have changing priorities upon having children. Subconsciously, this plays a role in how men and women are treated and what's expected of them in the office. I highly encourage the business to extend parental leave so that everyone receives the same benefit.",G_L_D_H,WE_PO_U,,,
"In my personal day to day here, I don't feel like gender diversity is a problem. I have a pretty equal split on my team of men and women. However, looking at my manager's peers and above it is pretty disheartening to see such a small proportion of women. It's hard to picture yourself advancing to that level. I've also seen good women leaders fired pretty often. I'm not sure if it just seems that way because there are already so few of them. It definitely feels like senior leadership would like to remain a boys club. ",N_G_L_D,G_L_D_H, N_G_keep_Fm,,
We do not have enough women in high positions,G_L_D_H,,,,
There are only a handful of women in engineering in the OOCTO org.,DEPARTMENT,G_L-D,,,
We need more outreach to women that want to keep as employees.  Cultivate these women and let them know they are being noticed and valued!,CD_down.est_Fm,,,,
"there is a well known 'boys club' that restricts women's ability to get ""in"" on high viability projects ",,,,,
I think gender diversity is extremely important. However I think the gender diversity skewed by departments. As an office as a whole I think we are well balanced but between departments there is not an equal distribution of genders.,WE_MA,CA_Ceil_Fm,,,
"XXX is majority women but all at lower cohorts, there are very few women in leadership roles and if there are any the only diversity factor is that they are a woman because most are predominantly white",DEPARTMENT,G_L_D,,,
There is an obvious lack of female leadership among leadership roles.,WE_L_CD,G_L_D_H,,,
"I have seen so many strong director level women be passed over for promotion to leadership roles or leave for opportunities outside ah, this translates poorly to those below. Why would any company let some one like Jen Cardello go... it's a real shame.  ",G_L_D_H,,,,
My perception is the issues are heaviest at the executive leadership level with a long history of not retaining women at those highest levels.  It also seems to be prevalent in OOCTO people management.,N_G_keep_H_Fm,,,,
I'm too new at XXX to comment.,G_L_D_H,,,,
There has been an absence of *competent* women at the ED level and above. Many women in leadership grew up hear and were promoted into positions but were not developed and lack the skills needed to lead. ,NONE,,,,
"There are a lot of female employees, but most of them are not in leadership roles, which means that from faraway, it appears there is gender diversity until you take a closer look and realize that getting promoted within the company is harder at the leadership levels for women than for men.",Emf_Abb_Imp,N_GD_Prm,,,
,G_L-D_H,WE_PO_U,,,
